Model,Kelime,Benzer Kelime,Benzerlik
models/word2vec_stemmed_skipgram_win2_dim100.model,shoe,materi,0.9472
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,run,0.9945
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,sneaker,0.9911
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,design,0.991
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,patent,0.9891
models/word2vec_stemmed_cbow_win4_dim100.model,shoe,boot,0.9886
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,loafer,0.9889
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,patent,0.9784
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,derbi,0.9638
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,run,0.9635
models/word2vec_stemmed_skipgram_win4_dim100.model,shoe,ornament,0.9624
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,run,0.998
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,monochromat,0.9973
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,sneaker,0.997
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,ornament,0.9969
models/word2vec_stemmed_cbow_win2_dim300.model,shoe,sued,0.9967
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,sneaker,0.9855
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,run,0.9805
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,materi,0.9734
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,loafer,0.9717
models/word2vec_stemmed_skipgram_win2_dim300.model,shoe,patent,0.9711
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,sneaker,0.9969
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,run,0.9969
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,design,0.9969
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,finish,0.9965
models/word2vec_stemmed_cbow_win4_dim300.model,shoe,sued,0.996
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,loafer,0.9898
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,patent,0.9826
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,ornament,0.972
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,sneaker,0.9694
models/word2vec_stemmed_skipgram_win4_dim300.model,shoe,run,0.9589
